instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
Empresa de Pesquisa Energética,Empresa de Pesquisa Energética,"[""Ministério de Minas e Energia"", ""Superintendência de Estudos Econômicos e Energéticos""]","[""Ministério de Minas e Energia"", ""Superintendência de Estudos Econômicos e Energéticos""]",030.pdf,doc_8e264afeb0637ad8
Ministério do Meio Ambiente (MMA),Ministério do Meio Ambiente (MMA),"[""Comitê Interministerial da Política Nacional de Resíduos Sólidos"", ""Instituto de Pesquisa Econômica Aplicada (IPEA)"", ""Conselho Nacional de Meio Ambiente (CONAMA)"", ""Conselho Nacional das Cidades"", ""Conselho Nacional de Recursos Hídricos"", ""Conselho Nacional de Saúde"", ""Conselho Nacional de Política Agrícola"", ""Programa de Pesquisa para o Desenvolvimento Nacional (PNPD)""]","[""Comitê Interministerial da Política Nacional de Resíduos Sólidos"", ""Instituto de Pesquisa Econômica Aplicada (IPEA)"", ""Conselho Nacional de Meio Ambiente (CONAMA)"", ""Conselho Nacional das Cidades"", ""Conselho Nacional de Recursos Hídricos"", ""Conselho Nacional de Saúde"", ""Conselho Nacional de Política Agrícola"", ""Programa de Pesquisa para o Desenvolvimento Nacional (PNPD)""]",031.pdf,doc_978ee2b3dfb00ea9
BNDES,BNDES,"[""Secretaria de Desenvolvimento de Infraestrutura do Ministério da Economia (SDI/ME)""]","[""Secretaria de Desenvolvimento de Infraestrutura do Ministério da Economia (SDI/ME)""]",032.pdf,doc_eae6078d7101d10d
French General Secretariat for Investment,French General Secretariat for Investment,"[""French National Research Agency (ANR)"", ""French Agency for Ecological Transition (ADEME)"", ""Bpifrance"", ""Caisse des Dépôts et consignation (CDC)"", ""Ministry of National Education and Young People"", ""Ministry for Labour, Full Employment and Economic Inclusion"", ""Ministry of Higher Education and Research"", ""Ministry for Industry"", ""Ministry of the Economy, Finance and Industrial and Digital Sovereignty"", ""CNRS"", ""INRIA"", ""University of Strasbourg"", ""Université Paris Sciences et Lettres"", ""University of the Côte d’Azur"", ""University of La Rochelle"", ""CNR"", ""IRD"", ""Ifremer""]","[""French National Research Agency (ANR)"", ""French Agency for Ecological Transition (ADEME)"", ""Bpifrance"", ""Caisse des Dépôts et consignation (CDC)"", ""Ministry of National Education and Young People"", ""Ministry for Labour, Full Employment and Economic Inclusion"", ""Ministry of Higher Education and Research"", ""Ministry for Industry"", ""Ministry of the Economy, Finance and Industrial and Digital Sovereignty"", ""CNRS"", ""INRIA"", ""University of Strasbourg"", ""Université Paris Sciences et Lettres"", ""University of the Côte d’Azur"", ""University of La Rochelle"", ""CNR"", ""IRD"", ""Ifremer""]",033.pdf,doc_595ee8b0e2802062
OECD,OECD,"[""OECD Strategic Foresight Unit"", ""OECD Directorates"", ""OECD Government Foresight Community"", ""Strategic Futures Group of the United States National Intelligence Council"", ""Policy Horizons Canada"", ""Emlyon Business School"", ""University of Oxford"", ""Josef Korbel School of International Studies at the University of Denver"", ""Development Foundations""]","[""OECD Strategic Foresight Unit"", ""OECD Directorates"", ""OECD Government Foresight Community"", ""Strategic Futures Group of the United States National Intelligence Council"", ""Policy Horizons Canada"", ""Emlyon Business School"", ""University of Oxford"", ""Josef Korbel School of International Studies at the University of Denver"", ""Development Foundations""]",034.pdf,doc_779f0464baab41f0
National Intelligence Council,National Intelligence Council,"[""University of Indiana""]","[""University of Indiana""]",035.pdf,doc_d523ef1661749be1
European Strategy and Policy Analysis System (ESPAS),European Strategy and Policy Analysis System (ESPAS),"[""European Parliament"", ""General Secretariat of the Council of the EU"", ""European Commission"", ""European External Action Service"", ""European Economic and Social Committee"", ""European Committee of the Regions"", ""European Court of Auditors"", ""European Investment Bank"", ""European Union Institute for Security Studies""]","[""European Parliament"", ""General Secretariat of the Council of the EU"", ""European Commission"", ""European External Action Service"", ""European Economic and Social Committee"", ""European Committee of the Regions"", ""European Court of Auditors"", ""European Investment Bank"", ""European Union Institute for Security Studies""]",036.pdf,doc_0881f891c17efa0d
OECD,OECD,"[""French Presidency of the Council of the European Union"", ""Regional Development Policy Committee (RDPC)"", ""Agence Nationale de la Cohésion des Territoires (ANCT)""]","[""French Presidency of the Council of the European Union"", ""Regional Development Policy Committee (RDPC)"", ""Agence Nationale de la Cohésion des Territoires (ANCT)""]",037.pdf,doc_87c2f944565dc6ef
Instituto de Pesquisa Econômica Aplicada (Ipea),Instituto de Pesquisa Econômica Aplicada (Ipea),"[""Secretaria de Assuntos Estratégicos da Presidência da República""]","[""Secretaria de Assuntos Estratégicos da Presidência da República""]",038.pdf,doc_5be1150dd3b0c6ef
EX ANTE CONSULTORIA ECONÔMICA,EX ANTE CONSULTORIA ECONÔMICA,[],[],039.pdf,doc_2b8ee33b52573eab
Ministério de Minas e Energia (MME),Ministério de Minas e Energia (MME),"[""Companhia de Pesquisa de Recursos Minerais (CPRM)"", ""Departamento Nacional de Produção Mineral (DNPM)"", ""Centro de Tecnologia Mineral (CETEM)"", ""Secretaria de Assuntos Estratégicos da Presidência da República (SAE/PR)"", ""Vale S/A"", ""Universidade de São Paulo (USP)"", ""Secretaria da Comissão Interministerial para os Recursos do Mar (SECIRM)"", ""Minerais do Paraná S.A. (MINEROPAR)"", ""Agência para o Desenvolvimento Tecnológico da Indústria Mineral Brasileira (ADIMB)"", ""Ministério da Ciência e Tecnologia (MCT)"", ""Secretaria de Desenvolvimento Tecnológico e Inovação (SETEC)"", ""Departamento de Recursos Minerais do Rio de Janeiro (DRM-RJ)"", ""Associação Brasileira das Empresas de Mineração (ABEMIN)"", ""Universidade Federal de Pernambuco (UFPE)"", ""MBAC Fertilizantes"", ""Instituto Brasileiro de Mineração (IBRAM)"", ""Conselho Nacional de Desenvolvimento Tecnológico (CONDET)"", ""Associação Nacional dos Produtores de Agregados para Construção (ANGPAC)"", ""Associação Paulista das Cerâmicas de Revestimento (ASPACER)"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior (MDIC)"", ""Secretaria de Desenvolvimento da Produção (SDP)"", ""Instituto Tecnológico Vale (ITV)"", ""Companhia de Desenvolvimento Industrial e de Recursos Minerais de Sergipe (CODISE-SE)"", ""Secretaria de Planejamento e Investimentos (SPI)"", ""Ministério do Planejamento, Orçamento e Gestão (MPOG)"", ""Secretaria de Geologia, Mineração e Recursos Hídricos do Governo do Amazonas (SEGEORH/Gov. AM)"", ""Secretaria de Estado de Minas e Energia do Maranhão (SEME-MA)"", ""Agência de Desenvolvimento do Estado do Ceará (ADECE)"", ""Companhia de Desenvolvimento de Recursos Minerais da Paraíba (CDRM/PB)"", ""Instituto de Desenvolvimento do Piauí (IDEPI/PI)"", ""Fundação de Apoio à Pesquisa Mineral de Goiás (Funmineral-GO)"", ""Secretaria de Estado de Desenvolvimento Econômico de Minas Gerais (SEDE-MG)"", ""Companhia Baiana de Pesquisa Mineral (CBPM-BA)"", ""Instituto Geológico de São Paulo"", ""Ministério do Meio Ambiente (MMA)"", ""Serviço Florestal Brasileiro (SFB)"", ""Departamento de Áreas Protegidas (DAP)"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)"", ""Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio)"", ""Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo (IEMA/ES)"", ""Procuradoria Federal Especializada junto ao ICMBio (PFE/ICMBio)"", ""Universidade Federal do Pará (UFPA)"", ""Associação Paraense de Geólogos e Engenheiros de Minas (APGAM/PA)"", ""Ministério do Desenvolvimento Social e Combate à Fome (MDS)"", ""Associação Brasileira dos Produtores de Minerais Industriais (APROMIN)"", ""Associação Brasileira do Alumínio (ABAL)"", ""Escola Politécnica da Universidade de São Paulo (EPUSP)"", ""PROGEN Engenharia"", ""Secretaria de Comércio Exterior (SECEX)"", ""Instituto Brasileiro de Desenvolvimento e Sustentabilidade (IABS)"", ""Associação Brasileira de Metalurgia, Materiais e Mineração (ABM)"", ""Secretaria de Planejamento e Desenvolvimento Energético (SPE)"", ""Departamento de Planejamento Energético (DPE)"", ""Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)"", ""Confederação Nacional da Indústria (CNI)"", ""Conselho Empresarial de Meio Ambiente (CEM)"", ""Banco Nacional de Desenvolvimento Econômico e Social (BNDES)"", ""Associação Brasileira de Cerâmica (ABC)"", ""Associação Nacional dos Fabricantes de Cerâmica para Revestimentos (ANFACER)"", ""Federação das Indústrias do Estado de Goiás (FIEG-GO)"", ""Universidade da Amazônia (UNAMA)"", ""Associação Nacional da Indústria de Cerâmica (ANICER)"", ""Associação Nacional das Empresas Produtoras de Agregados para Construção (ANEPAC)"", ""Instituto Aço Brasil (IABr)"", ""Universidade Federal de Minas Gerais (UFMG)"", ""Centro de Desenvolvimento Sustentável da Universidade de Brasília (CDS/UnB)"", ""Rio Tinto Group"", ""Sindicato dos Trabalhadores na Indústria da Mineração (SIND. METABASE)"", ""Associação Brasileira da Indústria de Rochas Ornamentais (ABIROCHAS)"", ""Federação das Indústrias do Estado da Bahia (FIEBA)""]","[""Companhia de Pesquisa de Recursos Minerais (CPRM)"", ""Departamento Nacional de Produção Mineral (DNPM)"", ""Centro de Tecnologia Mineral (CETEM)"", ""Secretaria de Assuntos Estratégicos da Presidência da República (SAE/PR)"", ""Vale S/A"", ""Universidade de São Paulo (USP)"", ""Secretaria da Comissão Interministerial para os Recursos do Mar (SECIRM)"", ""Minerais do Paraná S.A. (MINEROPAR)"", ""Agência para o Desenvolvimento Tecnológico da Indústria Mineral Brasileira (ADIMB)"", ""Ministério da Ciência e Tecnologia (MCT)"", ""Secretaria de Desenvolvimento Tecnológico e Inovação (SETEC)"", ""Departamento de Recursos Minerais do Rio de Janeiro (DRM-RJ)"", ""Associação Brasileira das Empresas de Mineração (ABEMIN)"", ""Universidade Federal de Pernambuco (UFPE)"", ""MBAC Fertilizantes"", ""Instituto Brasileiro de Mineração (IBRAM)"", ""Conselho Nacional de Desenvolvimento Tecnológico (CONDET)"", ""Associação Nacional dos Produtores de Agregados para Construção (ANGPAC)"", ""Associação Paulista das Cerâmicas de Revestimento (ASPACER)"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior (MDIC)"", ""Secretaria de Desenvolvimento da Produção (SDP)"", ""Instituto Tecnológico Vale (ITV)"", ""Companhia de Desenvolvimento Industrial e de Recursos Minerais de Sergipe (CODISE-SE)"", ""Secretaria de Planejamento e Investimentos (SPI)"", ""Ministério do Planejamento, Orçamento e Gestão (MPOG)"", ""Secretaria de Geologia, Mineração e Recursos Hídricos do Governo do Amazonas (SEGEORH/Gov. AM)"", ""Secretaria de Estado de Minas e Energia do Maranhão (SEME-MA)"", ""Agência de Desenvolvimento do Estado do Ceará (ADECE)"", ""Companhia de Desenvolvimento de Recursos Minerais da Paraíba (CDRM/PB)"", ""Instituto de Desenvolvimento do Piauí (IDEPI/PI)"", ""Fundação de Apoio à Pesquisa Mineral de Goiás (Funmineral-GO)"", ""Secretaria de Estado de Desenvolvimento Econômico de Minas Gerais (SEDE-MG)"", ""Companhia Baiana de Pesquisa Mineral (CBPM-BA)"", ""Instituto Geológico de São Paulo"", ""Ministério do Meio Ambiente (MMA)"", ""Serviço Florestal Brasileiro (SFB)"", ""Departamento de Áreas Protegidas (DAP)"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)"", ""Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio)"", ""Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo (IEMA/ES)"", ""Procuradoria Federal Especializada junto ao ICMBio (PFE/ICMBio)"", ""Universidade Federal do Pará (UFPA)"", ""Associação Paraense de Geólogos e Engenheiros de Minas (APGAM/PA)"", ""Ministério do Desenvolvimento Social e Combate à Fome (MDS)"", ""Associação Brasileira dos Produtores de Minerais Industriais (APROMIN)"", ""Associação Brasileira do Alumínio (ABAL)"", ""Escola Politécnica da Universidade de São Paulo (EPUSP)"", ""PROGEN Engenharia"", ""Secretaria de Comércio Exterior (SECEX)"", ""Instituto Brasileiro de Desenvolvimento e Sustentabilidade (IABS)"", ""Associação Brasileira de Metalurgia, Materiais e Mineração (ABM)"", ""Secretaria de Planejamento e Desenvolvimento Energético (SPE)"", ""Departamento de Planejamento Energético (DPE)"", ""Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)"", ""Confederação Nacional da Indústria (CNI)"", ""Conselho Empresarial de Meio Ambiente (CEM)"", ""Banco Nacional de Desenvolvimento Econômico e Social (BNDES)"", ""Associação Brasileira de Cerâmica (ABC)"", ""Associação Nacional dos Fabricantes de Cerâmica para Revestimentos (ANFACER)"", ""Federação das Indústrias do Estado de Goiás (FIEG-GO)"", ""Universidade da Amazônia (UNAMA)"", ""Associação Nacional da Indústria de Cerâmica (ANICER)"", ""Associação Nacional das Empresas Produtoras de Agregados para Construção (ANEPAC)"", ""Instituto Aço Brasil (IABr)"", ""Universidade Federal de Minas Gerais (UFMG)"", ""Centro de Desenvolvimento Sustentável da Universidade de Brasília (CDS/UnB)"", ""Rio Tinto Group"", ""Sindicato dos Trabalhadores na Indústria da Mineração (SIND. METABASE)"", ""Associação Brasileira da Indústria de Rochas Ornamentais (ABIROCHAS)"", ""Federação das Indústrias do Estado da Bahia (FIEBA)""]",040.pdf,doc_f25a9a5e52e6b275
Centro Brasileiro de Relações Internacionais (CEBRI),Centro Brasileiro de Relações Internacionais (CEBRI),"[""Banco Interamericano de Desenvolvimento (BID)"", ""Empresa de Pesquisa Energética (EPE)"", ""Centro de Economia Energética e Ambiental (Cenergia)"", ""Siemens Energy""]","[""Banco Interamericano de Desenvolvimento (BID)"", ""Empresa de Pesquisa Energética (EPE)"", ""Centro de Economia Energética e Ambiental (Cenergia)"", ""Siemens Energy""]",041.pdf,doc_249f09c79e7fb979
Grupo de Economia do Setor Público IE-UFRJ,Grupo de Economia do Setor Público IE-UFRJ,"[""Associação Brasileira de Economia da Saúde (ABrES)""]","[""Associação Brasileira de Economia da Saúde (ABrES)""]",042.pdf,doc_bb3e79800311defd
Grupo Banco Mundial,Grupo Banco Mundial,"[""Banco Interamericano de Desenvolvimento"", ""Insper"", ""Instituto McKenzie Brasília"", ""FGV"", ""Chapman University"", ""USP"", ""PNUD""]","[""Banco Interamericano de Desenvolvimento"", ""Insper"", ""Instituto McKenzie Brasília"", ""FGV"", ""Chapman University"", ""USP"", ""PNUD""]",043.pdf,doc_7f65fd044074a298
Instituto de Pesquisa Econômica Aplicada e Associação Nacional dos Servidores da Carreira de Planejamento e Orçamento,Instituto de Pesquisa Econômica Aplicada e Associação Nacional dos Servidores da Carreira de Planejamento e Orçamento,[],[],044.pdf,doc_87497e04c084d6b3
Instituto de Pesquisa Econômica Aplicada (Ipea),Instituto de Pesquisa Econômica Aplicada (Ipea),[],[],045.pdf,doc_e0c1740150eab95a
Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,"[""Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ - German Development Cooperation)""]","[""Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ - German Development Cooperation)""]",046.pdf,doc_02f4cfa6b83b84de
Banco Nacional de Desenvolvimento Econômico e Social (BNDES),Banco Nacional de Desenvolvimento Econômico e Social (BNDES),[],[],047.pdf,doc_88b4cb0e734fe953
Governo do Estado de Pernambuco,Governo do Estado de Pernambuco,"[""MBC-Movimento Brasil Competitivo"", ""MACROPLAN | Prospectiva, Estratégia & Gestão"", ""CEPLAN | Consultoria Econômica e Planejamento"", ""TGI | Consultoria em Gestão"", ""Setor privado""]","[""MBC-Movimento Brasil Competitivo"", ""MACROPLAN | Prospectiva, Estratégia & Gestão"", ""CEPLAN | Consultoria Econômica e Planejamento"", ""TGI | Consultoria em Gestão"", ""Setor privado""]",048.pdf,doc_94ab85f86f3b1651
"Ministério dos Transportes, Portos e Aviação Civil","Ministério dos Transportes, Portos e Aviação Civil",[],[],049.pdf,doc_d4afc8219b4e57c3
Ministério de Minas e Energia (MME),Ministério de Minas e Energia (MME),"[""Ministério de Minas e Energia (MME)"", ""Secretaria Nacional de Geologia, Mineração e Transformação Mineral (SNGM)"", ""Agência Nacional de Mineração (ANM)"", ""Serviço Geológico do Brasil (SGB-CPRM)"", ""IPEA""]","[""Ministério de Minas e Energia (MME)"", ""Secretaria Nacional de Geologia, Mineração e Transformação Mineral (SNGM)"", ""Agência Nacional de Mineração (ANM)"", ""Serviço Geológico do Brasil (SGB-CPRM)"", ""IPEA""]",050.pdf,doc_65126f737250b846
Marsh McLennan,Marsh McLennan,[],[],051.pdf,doc_40fe95addf892ff4
Coordenação do Programa FAPESP de Pesquisa sobre Mudanças Climáticas Globais,Coordenação do Programa FAPESP de Pesquisa sobre Mudanças Climáticas Globais,"[""Belmont Forum"", ""UNEP"", ""GEO"", ""Gates Foundation"", ""IAI"", ""IPCC"", ""IPBES"", ""COPs (Conference of the Parties da Convenção-Quadro das Nações Unidas sobre as Alterações Climáticas)"", ""ONU Brasil"", ""OMS"", ""MCTIC"", ""MMA"", ""Setor privado"", ""Terceiro setor (ONGs)"", ""Sociedade civil organizada""]","[""Belmont Forum"", ""UNEP"", ""GEO"", ""Gates Foundation"", ""IAI"", ""IPCC"", ""IPBES"", ""COPs (Conference of the Parties da Convenção-Quadro das Nações Unidas sobre as Alterações Climáticas)"", ""ONU Brasil"", ""OMS"", ""MCTIC"", ""MMA"", ""Setor privado"", ""Terceiro setor (ONGs)"", ""Sociedade civil organizada""]",052.pdf,doc_d86685b51c9f0492
